Object ID: 78, Bounding Box: [320.0, 249.0, 328.0, 266.0]
Object ID: 79, Bounding Box: [482.0, 248.0, 511.0, 273.0]
Object ID: 80, Bounding Box: [198.0, 251.0, 208.0, 268.0]
Object ID: 81, Bounding Box: [600.0, 255.0, 611.0, 299.0]
Object ID: 82, Bounding Box: [324.0, 249.0, 334.0, 266.0]
Object ID: 83, Bounding Box: [192.0, 260.0, 213.0, 320.0]
Object ID: 84, Bounding Box: [478.0, 252.0, 491.0, 288.0]
Object ID: 85, Bounding Box: [50.0, 263.0, 62.0, 291.0]
Object ID: 86, Bounding Box: [121.0, 251.0, 133.0, 286.0]
Object ID: 87, Bounding Box: [383.0, 250.0, 404.0, 288.0]
Object ID: 88, Bounding Box: [483.0, 248.0, 497.0, 289.0]
Object ID: 89, Bounding Box: [129.0, 250.0, 138.0, 280.0]
Object ID: 90, Bounding Box: [120.0, 279.0, 169.0, 324.0]
Object ID: 91, Bounding Box: [569.0, 254.0, 579.0, 292.0]
Object ID: 92, Bounding Box: [206.0, 251.0, 216.0, 270.0]
Object ID: 93, Bounding Box: [587.0, 255.0, 601.0, 285.0]
Object ID: 94, Bounding Box: [416.0, 251.0, 436.0, 271.0]
Object ID: 95, Bounding Box: [142.0, 276.0, 155.0, 289.0]
Object ID: 96, Bounding Box: [437.0, 245.0, 571.0, 269.0]
Object ID: 97, Bounding Box: [480.0, 247.0, 504.0, 257.0]
Object ID: 98, Bounding Box: [213.0, 218.0, 220.0, 226.0]
Object ID: 99, Bounding Box: [574.0, 246.0, 614.0, 260.0]
Object ID: 0, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 1, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 2, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 0, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 1, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 2, Bounding Box: [0.0, 0.0, 255.0, 255.0]
Object ID: 0, Bounding Box: [78.0, 247.0, 106.0, 345.0]
Object ID: 1, Bounding Box: [546.0, 141.0, 561.0, 168.0]
Object ID: 2, Bounding Box: [25.0, 248.0, 64.0, 313.0]
Object ID: 3, Bounding Box: [275.0, 297.0, 365.0, 381.0]
Object ID: 4, Bounding Box: [293.0, 262.0, 342.0, 344.0]
Object ID: 5, Bounding Box: [229.0, 251.0, 257.0, 314.0]
Object ID: 6, Bounding Box: [130.0, 248.0, 160.0, 314.0]
Object ID: 7, Bounding Box: [259.0, 251.0, 272.0, 286.0]
Object ID: 8, Bounding Box: [442.0, 141.0, 453.0, 174.0]
Object ID: 9, Bounding Box: [102.0, 250.0, 130.0, 331.0]
Object ID: 10, Bounding Box: [431.0, 249.0, 448.0, 292.0]
Object ID: 11, Bounding Box: [583.0, 306.0, 639.0, 376.0]
